patch_idx,x_pix,y_pix,patch_file
0,2981,1940,exportimage_1658869684179_160_um_patch00.png
1,2693,5887,exportimage_1658869684179_160_um_patch01.png
2,4965,2084,exportimage_1658869684179_160_um_patch02.png
3,4677,6031,exportimage_1658869684179_160_um_patch03.png
4,6645,6191,exportimage_1658869684179_160_um_patch04.png
5,4053,1029,exportimage_1658869684179_160_um_patch05.png
6,6949,2227,exportimage_1658869684179_160_um_patch06.png
7,3893,2995,exportimage_1658869684179_160_um_patch07.png
8,8005,1317,exportimage_1658869684179_160_um_patch08.png
9,2069,885,exportimage_1658869684179_160_um_patch09.png
10,3749,4976,exportimage_1658869684179_160_um_patch10.png
11,7861,3298,exportimage_1658869684179_160_um_patch11.png
12,7717,5264,exportimage_1658869684179_160_um_patch12.png
13,2837,3922,exportimage_1658869684179_160_um_patch13.png
14,4821,4065,exportimage_1658869684179_160_um_patch14.png
15,5877,3154,exportimage_1658869684179_160_um_patch15.png
16,6805,4209,exportimage_1658869684179_160_um_patch16.png
17,1925,2851,exportimage_1658869684179_160_um_patch17.png
18,1781,4833,exportimage_1658869684179_160_um_patch18.png
19,6021,1173,exportimage_1658869684179_160_um_patch19.png
20,5733,5120,exportimage_1658869684179_160_um_patch20.png
21,2294,1145,exportimage_1658869684179_160_um_patch21.png
22,2006,5092,exportimage_1658869684179_160_um_patch22.png
23,4278,1289,exportimage_1658869684179_160_um_patch23.png
24,3990,5236,exportimage_1658869684179_160_um_patch24.png
25,5958,5396,exportimage_1658869684179_160_um_patch25.png
26,6262,1432,exportimage_1658869684179_160_um_patch26.png
27,3206,2200,exportimage_1658869684179_160_um_patch27.png
28,8230,1576,exportimage_1658869684179_160_um_patch28.png
29,3062,4181,exportimage_1658869684179_160_um_patch29.png
30,7174,2503,exportimage_1658869684179_160_um_patch30.png
31,7030,4469,exportimage_1658869684179_160_um_patch31.png
32,2150,3126,exportimage_1658869684179_160_um_patch32.png
33,4134,3270,exportimage_1658869684179_160_um_patch33.png
34,5190,2359,exportimage_1658869684179_160_um_patch34.png
35,6118,3414,exportimage_1658869684179_160_um_patch35.png
36,1238,2056,exportimage_1658869684179_160_um_patch36.png
37,1094,4037,exportimage_1658869684179_160_um_patch37.png
38,8086,3558,exportimage_1658869684179_160_um_patch38.png
39,5046,4325,exportimage_1658869684179_160_um_patch39.png
40,1498,1831,exportimage_1658869684179_160_um_patch40.png
41,1210,5778,exportimage_1658869684179_160_um_patch41.png
42,3482,1975,exportimage_1658869684179_160_um_patch42.png
43,3194,5922,exportimage_1658869684179_160_um_patch43.png
44,5162,6082,exportimage_1658869684179_160_um_patch44.png
45,2570,920,exportimage_1658869684179_160_um_patch45.png
46,5466,2119,exportimage_1658869684179_160_um_patch46.png
47,2410,2886,exportimage_1658869684179_160_um_patch47.png
48,7434,2262,exportimage_1658869684179_160_um_patch48.png
49,6522,1208,exportimage_1658869684179_160_um_patch49.png
50,2266,4867,exportimage_1658869684179_160_um_patch50.png
51,6378,3189,exportimage_1658869684179_160_um_patch51.png
52,6234,5155,exportimage_1658869684179_160_um_patch52.png
53,1354,3813,exportimage_1658869684179_160_um_patch53.png
54,3338,3956,exportimage_1658869684179_160_um_patch54.png
55,4394,3045,exportimage_1658869684179_160_um_patch55.png
56,5322,4100,exportimage_1658869684179_160_um_patch56.png
57,7290,4244,exportimage_1658869684179_160_um_patch57.png
58,4538,1064,exportimage_1658869684179_160_um_patch58.png
59,4250,5011,exportimage_1658869684179_160_um_patch59.png
60,2185,2626,exportimage_1658869684179_160_um_patch60.png
61,4169,2770,exportimage_1658869684179_160_um_patch61.png
62,3257,1715,exportimage_1658869684179_160_um_patch62.png
63,6153,2914,exportimage_1658869684179_160_um_patch63.png
64,3097,3681,exportimage_1658869684179_160_um_patch64.png
65,8121,3057,exportimage_1658869684179_160_um_patch65.png
66,7209,2003,exportimage_1658869684179_160_um_patch66.png
67,1273,1571,exportimage_1658869684179_160_um_patch67.png
68,2953,5662,exportimage_1658869684179_160_um_patch68.png
69,7065,3984,exportimage_1658869684179_160_um_patch69.png
70,6921,5950,exportimage_1658869684179_160_um_patch70.png
71,2041,4608,exportimage_1658869684179_160_um_patch71.png
72,4025,4752,exportimage_1658869684179_160_um_patch72.png
73,5081,3841,exportimage_1658869684179_160_um_patch73.png
74,6009,4895,exportimage_1658869684179_160_um_patch74.png
75,1129,3537,exportimage_1658869684179_160_um_patch75.png
76,985,5519,exportimage_1658869684179_160_um_patch76.png
77,7977,5039,exportimage_1658869684179_160_um_patch77.png
78,5225,1859,exportimage_1658869684179_160_um_patch78.png
79,4937,5806,exportimage_1658869684179_160_um_patch79.png
